DATE,SALES,COST_OF_SALES,QUANTITY_SOLD
2015-07-20,69926.65036,71362.51784,1787
2015-07-21,71973.04430,73851.78840,1846
2015-07-22,44304.89836,45468.83698,1142
2015-07-23,66799.72373,69323.64787,1734
2015-07-24,125689.59280,130428.22640,3259
2015-07-25,138624.94500,143537.39520,3572
2015-07-26,81715.04533,85089.22343,2109
2015-07-27,86842.86136,90242.79410,2242
2015-07-28,56976.78528,59094.07686,1474
2015-07-29,53433.66803,55516.52556,1381
2015-07-30,55134.08182,57064.75070,1423
2015-07-31,145033.61080,149876.87330,3740
2015-08-01,173306.90650,178699.97590,4453
2015-08-02,88154.33871,90828.66170,2258
2015-08-03,81142.02785,83114.57681,2074
2015-08-04,77672.88278,80417.74644,2007
2015-08-05,75483.42255,78024.28468,1948
2015-08-06,74354.57010,76978.30524,1922
2015-08-07,120326.87630,123707.76160,3088
2015-08-08,131867.99350,135721.42600,3388
2015-08-09,75504.00274,77978.69447,1944
2015-08-10,69968.07770,72665.72553,1812
2015-08-11,60187.14905,62538.49328,1563
2015-08-12,44698.70075,46849.56715,1171
2015-08-13,39463.40906,41414.41837,1035
2015-08-14,85794.09690,89898.89423,2247
2015-08-15,117288.01010,122504.35720,3068
2015-08-16,71056.06100,74589.17287,1866
2015-08-17,64394.07445,67505.25414,1690
2015-08-18,35165.97208,36841.96732,922
2015-08-19,23234.18320,24104.08598,604
2015-08-20,24754.95718,25407.17407,643
2015-08-21,76691.28303,78691.95632,2006
2015-08-22,102231.21180,104713.00750,2677
2015-08-23,56974.86803,57548.98515,1467
2015-08-24,59442.73112,59785.42861,1528
2015-08-25,217683.36230,246975.73080,6360
2015-08-26,275458.80690,307092.27440,8035
2015-08-27,228731.86550,252845.44560,6675
2015-08-28,387639.12000,426783.30220,11330
2015-08-29,461188.00490,504578.18880,13484
2015-08-30,202249.67720,220152.18680,5913
2015-08-31,332559.76500,361970.28590,9721
2015-09-01,384806.77160,418101.59750,11257
2015-09-02,345776.25030,373816.16840,10102
2015-09-03,271551.09510,293343.87400,7938
2015-09-04,340440.20550,366359.65860,9936
2015-09-05,364416.73160,392128.30130,10643
2015-09-06,164719.60450,176647.84270,4800
2015-09-07,178921.09930,192507.52870,5228
2015-09-08,70286.99781,66639.69805,1810
2015-09-09,76013.67790,72211.10317,1961
2015-09-10,48406.78715,45316.54273,1232
2015-09-11,85940.02694,81559.84562,2194
2015-09-12,57381.75145,54340.89151,1469
2015-09-13,32479.79639,30763.68812,829
2015-09-14,52160.18393,49656.00775,1329
2015-09-15,51002.83957,48601.96750,1300
2015-09-16,30194.71596,28605.46080,773
2015-09-17,29751.22261,28084.23513,760
2015-09-18,68504.63944,64881.97565,1755
